epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.4575,0.93355,5.23653,0.91736,0,0,0,0,0.60159,5.24324,0.88972,2.224e-05,2.224e-05,2.224e-05
2,50.2074,0.71984,5.04923,0.8783,0,0,0,0,0.65819,5.0897,0.83655,4.90492e-05,4.90492e-05,4.90492e-05
3,74.7519,0.66109,4.82363,0.82119,0,0,0,0,0.62375,4.97235,0.7985,7.47575e-05,7.47575e-05,7.47575e-05
4,99.0757,0.64002,4.55149,0.82322,0,0,0,0,0.55851,4.92706,0.78931,9.9365e-05,9.9365e-05,9.9365e-05
5,122.102,0.64407,4.35342,0.84663,0,0,0,0,0.60655,4.86155,0.79257,0.000122872,0.000122872,0.000122872
6,145.533,0.63716,4.0758,0.82505,0.00529,0.00649,0.00465,0.00439,0.59235,4.79988,0.78614,0.000145277,0.000145277,0.000145277
7,168.68,0.62297,3.81966,0.82881,0.04514,0.12281,0.05757,0.0519,0.54352,4.68638,0.78632,0.000166582,0.000166582,0.000166582
8,192.173,0.67578,3.68132,0.82256,0.0428,0.16893,0.06483,0.05878,0.5422,4.66146,0.78507,0.000186786,0.000186786,0.000186786
9,215.949,0.66752,3.52523,0.82594,0.03136,0.21522,0.06884,0.0641,0.54825,4.62052,0.7857,0.000205889,0.000205889,0.000205889
10,239.153,0.68255,3.37809,0.7971,0.03645,0.32723,0.10172,0.09098,0.56853,4.53705,0.79028,0.000223891,0.000223891,0.000223891
11,262.028,0.65676,3.15143,0.82067,0.03215,0.47483,0.15006,0.1313,0.56294,4.39265,0.79314,0.000240792,0.000240792,0.000240792
12,285.355,0.60786,3.18926,0.81309,0.03134,0.63338,0.18256,0.16298,0.5363,4.25215,0.78894,0.000256593,0.000256593,0.000256593
13,308.111,0.63666,3.0689,0.82858,0.03088,0.71218,0.19337,0.17588,0.53417,4.20512,0.78771,0.000271292,0.000271292,0.000271292
14,331.116,0.64721,2.83306,0.82641,0.02794,0.86471,0.24613,0.22251,0.5446,4.05401,0.79098,0.000284891,0.000284891,0.000284891
15,354.566,0.61433,2.8043,0.81178,0.02196,0.95026,0.3047,0.2739,0.49305,3.85452,0.78757,0.000297389,0.000297389,0.000297389
16,377.36,0.612,2.80882,0.83881,0.02008,0.96964,0.33287,0.29889,0.4707,3.81049,0.78914,0.000308786,0.000308786,0.000308786
17,400.292,0.57371,2.5216,0.81603,0.01797,0.99286,0.35762,0.3154,0.49178,3.73504,0.79213,0.000319082,0.000319082,0.000319082
