epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.013,0.93355,5.23653,0.91736,0,0,0,0,0.60159,5.24324,0.88972,2.224e-05,2.224e-05,2.224e-05
2,61.8353,0.71889,5.04837,0.87813,0,0,0,0,0.65974,5.08932,0.83647,4.97097e-05,4.97097e-05,4.97097e-05
3,89.4164,0.66062,4.82123,0.82105,0,0,0,0,0.62015,4.97053,0.79797,7.68125e-05,7.68125e-05,7.68125e-05
4,113.202,0.63893,4.54475,0.82146,0,0,0,0,0.56672,4.92773,0.7901,0.000103548,0.000103548,0.000103548
5,136.397,0.64835,4.3483,0.8476,0,0,0,0,0.61037,4.86487,0.7921,0.000129917,0.000129917,0.000129917
6,159.222,0.64338,4.06076,0.83204,0.00889,0.01199,0.00722,0.00695,0.58198,4.79402,0.78384,0.000155919,0.000155919,0.000155919
7,181.954,0.62576,3.80115,0.82862,0.0507,0.13684,0.06326,0.05638,0.54044,4.68721,0.78547,0.000181554,0.000181554,0.000181554
8,204.635,0.6711,3.65535,0.82116,0.04278,0.15145,0.06391,0.05854,0.5507,4.66703,0.78561,0.000206822,0.000206822,0.000206822
9,227.854,0.66406,3.48713,0.82656,0.03047,0.19405,0.09002,0.08149,0.5467,4.62095,0.78779,0.000231723,0.000231723,0.000231723
10,250.575,0.68801,3.34532,0.79495,0.04484,0.34126,0.11028,0.10062,0.56011,4.51756,0.79011,0.000256257,0.000256257,0.000256257
11,273.269,0.6562,3.09953,0.81976,0.03712,0.4295,0.146,0.12814,0.54296,4.38656,0.79021,0.000280424,0.000280424,0.000280424
12,295.92,0.60513,3.13243,0.81003,0.03238,0.55739,0.17941,0.1614,0.53626,4.28075,0.78903,0.000304224,0.000304224,0.000304224
13,318.624,0.62625,3.00532,0.82667,0.02936,0.62639,0.19614,0.17846,0.53958,4.22139,0.78937,0.000327657,0.000327657,0.000327657
14,341.271,0.64925,2.77381,0.82636,0.02454,0.84011,0.24018,0.21237,0.53907,4.01746,0.79095,0.000350724,0.000350724,0.000350724
15,363.882,0.60943,2.73161,0.81061,0.02135,0.93155,0.31933,0.28507,0.48566,3.80847,0.79056,0.000373423,0.000373423,0.000373423
16,386.574,0.64495,2.75317,0.84317,0.02085,0.96012,0.35498,0.31626,0.4863,3.78354,0.7925,0.000395755,0.000395755,0.000395755
17,409.204,0.57681,2.49135,0.81711,0.0213,0.95238,0.41715,0.36089,0.52375,3.72352,0.79553,0.000417721,0.000417721,0.000417721
18,431.816,0.54696,2.4224,0.81622,0.02147,1,0.44056,0.39296,0.49717,3.58782,0.79246,0.000439319,0.000439319,0.000439319
19,454.419,0.57262,2.35657,0.82269,0.41708,0.40474,0.4378,0.39665,0.47355,3.46849,0.79191,0.00046055,0.00046055,0.00046055
20,477.103,0.58065,2.39249,0.85664,0.14882,0.92429,0.56009,0.49502,0.51988,3.3465,0.79602,0.000481415,0.000481415,0.000481415
21,499.647,0.55461,2.17759,0.81821,1,0.07158,0.64169,0.57851,0.49746,3.19578,0.79411,0.000482608,0.000482608,0.000482608
22,522.278,0.57151,2.16589,0.84787,0.94444,0.12911,0.67309,0.6058,0.46766,2.99177,0.78814,0.000478938,0.000478938,0.000478938
